"","id.name","count","id","cost.usdph","read.cache.load","read.cache.mem","read.cache.sto","read.cache.s3","read.spool.mem","read.spool.sto","read.spool.s3","rw.mem","rw.sto","rw.s3","rw.xchg","stat.read.spool","stat.read.work","time.cpu","time.mem","time.sto","time.s3","time.xchg","time.load","stat.time.sum","stat.time.max","stat.time.period","stat.elas.s3bw","stat.elas.effi","stat.elas.scan","stat.price.sum","stat.price.max","stat.price.period","window.start","window.end","stat.time.switch","stat.price.stay","stat.price.switch"
"1","c5.large",1,"c5.large/1",0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10800,0.0520833333333333,1,0,0,0,0.255,1,3,0,0,0
"2","c5n.18xlarge",1,"c5n.18xlarge/1",3.888,0,8724.00520246563,0,27275.9947975343,144.659921095837,0,14255.3400789041,9013.32504465731,0,55786.6749553426,0,14400,36000,720,180.266500893146,0,5578.66749553426,0,0,6478.9339964274,5578.66749553426,7200,10,1,3877.33564554028,6.99724871614159,6.024960895177,7.776,4,5,0,0,0
"3","c5n.18xlarge",2,"c5n.18xlarge/2",7.776,0,7526.54669267505,0,18973.453307325,212.824088074298,0,10387.1759119257,7952.19486882365,0,39747.8051311765,21200,10600,26500,583,174.94828711412,0,4372.25856442942,932.8,0,6063.00685154354,4372.25856442942,7200,10,0.55,3550.25787390333,13.096094799334,9.44407849916754,15.552,6,7,193.866782277014,0,0.41875224971835
"4","c5n.18xlarge",4,"c5n.18xlarge/4",15.552,0,4175.55538709412,0,8324.44461290592,200.638508722694,0,4799.3614912773,4576.83240453951,0,17923.1675954605,10000,5000,12500,325,118.997642518027,0,2330.01178740987,520,0,3294.00942992789,2330.01178740987,3600,10,0.325,4175.55538709412,14.2301207372885,10.0656509216106,15.552,8,8,44.3782234237916,0,0.19171392519078
"5","c5n.18xlarge",1,"c5n.18xlarge/1",3.888,0,4362.00260123282,0,13637.9973987674,72.3299605479182,0,7127.67003945207,4506.66252232866,0,27893.3374776715,0,7200,18000,360,90.1332504465731,0,2789.33374776715,0,0,3239.46699821372,2789.33374776715,3600,10,1,4362.00260123282,3.49862435807082,3.01248044758852,3.888,9,9,104.388884677353,11.664,0.112739995451541
"6","c5n.18xlarge",2,"c5n.18xlarge/2",7.776,0,3124.22692903493,0,7875.77307096506,88.3420742949918,0,4311.65792570501,3300.91107762491,0,16499.0889223751,8800,4400,11000,242,72.6200437077481,0,1814.89978146126,387.2,0,2516.71982516901,1814.89978146126,3600,10,0.55,3124.22692903493,5.43611482236505,3.92018352795632,7.776,10,10,436.200260123282,0,0.866584516778254
"7","c5n.18xlarge",1,"c5n.18xlarge/1",3.888,0,4604.33607907908,0,14395.663920921,76.3482916894693,0,7523.65170831053,4757.03266245802,0,29442.967337542,0,7600,19000,380,95.1406532491604,0,2944.2967337542,0,0,3419.43738700336,2944.2967337542,3600,10,1,4604.33607907908,3.69299237796363,3.17984047245454,3.888,11,11,156.211346451746,3.888,0.168708254167886
"8","c5n.9xlarge",1,"c5n.9xlarge/1",1.944,0,775.892651730898,0,3224.10734826908,8.0420241681755,0,1591.95797583183,791.976700067249,0,6408.02329993273,0,1600,4000,160,15.839534001345,0,1281.60465998655,0,0,1457.44419398789,1281.60465998655,3600,5,1,775.892651730898,0.787019864753462,0.692066516392735,1.944,12,12,2071.95123558559,3.024,0.497268296540541
"9","c5n.4xlarge",2,"c5n.4xlarge/2",1.728,0,933.067436876655,0,4566.93256312334,9.6763057337657,0,2190.32369426623,952.420048344187,0,8947.57995165581,4400,2200,5500,544.5,20.9532410635721,0,4429.05207606962,871.2,0,5865.7053171332,4429.05207606962,7200,2.22222222222222,0.55,508.945874659994,2.81553855222393,2.12594499651342,3.456,13,14,174.575846639452,0.216,0.083796406386937
"10","c5n.4xlarge",1,"c5n.4xlarge/1",0.864,0,578.993734269537,0,3421.00626573044,3.5210946517124,0,1596.47890534829,586.035923572962,0,6613.96407642703,0,1600,4000,360,11.7207184714592,0,2976.28383439216,0,0,3348.00455286362,2976.28383439216,3600,2.22222222222222,1,578.993734269537,0.803521092687269,0.714308120254119,0.864,15,15,114.512821798499,0.864,0.0274830772316397
"11","c5n.4xlarge",2,"c5n.4xlarge/2",1.728,0,424.121562216661,0,2075.87843778334,4.39832078807532,0,995.601679211926,432.918203792812,0,4067.08179620719,2000,1000,2500,247.5,9.52420048344187,0,2013.20548912256,396,0,2666.229689606,2013.20548912256,3600,2.22222222222222,0.55,424.121562216661,1.27979025101088,0.966338634778829,1.728,16,16,130.273590210646,0,0.06253132330111
"12","c5n.4xlarge",1,"c5n.4xlarge/1",0.864,0,1013.23903497169,0,5986.7609650283,6.1619156404967,0,2793.8380843595,1025.56286625268,0,11574.4371337473,0,2800,7000,630,20.5112573250537,0,5208.49671018629,0,0,5859.00796751134,5208.49671018629,7200,2.22222222222222,1,434.245300702153,1.40616191220272,1.25003921044471,1.728,17,18,95.4273514987488,0.864,0.0229025643596997
"13","c5n.xlarge",3,"c5n.xlarge/3",0.648,0,67.2377382419181,0,599.428928424747,0.419222231621394,0,266.247444435044,68.0761827051609,0,1131.92381729484,533.333333333333,266.666666666667,666.666666666667,288,1.63382838492386,0,2444.95544535685,460.8,0,3195.38927374177,2444.95544535685,3600,0.555555555555556,0.4,67.2377382419181,0.575170069273519,0.440091980164232,0.648,19,19,390.820770631938,0.432,0.0468984924758325
"14","c5.large",1,"c5.large/1",0.085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000,0.0520833333333333,1,0,0,0,0.425,20,24,1290.96457424483,0.563,0.0304811080030029
