family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
Storage optimized,previous,i2.2xlarge,27,8,Intel Xeon E5-2670 v2 (Ivy Bridge),2.5 GHz,I2 Double Extra Large,61,High,0,0,2,true,false,800,1.705,90
Storage optimized,current,i3en.2xlarge,0,8,Intel Xeon Platinum 8175,3.1 GHz,I3EN Double Extra Large,64,Up to 25 Gigabit,0,0,2,true,true,2500,0.904,90
General purpose,current,m5a.xlarge,0,4,AMD EPYC 7571,2.5 GHz,M5A Extra Large,16,Up to 10 Gigabit,0,0,,,,,0.172,90
GPU instance,current,p3.2xlarge,26,8,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,P3 Double Extra Large,61,Up to 10 Gigabit,0,1,,,,,3.06,90
General purpose,current,t2.2xlarge,variable,8,Intel Xeon Family,Up to 3.0 GHz,T2 Double Extra Large,32,Moderate,0,0,,,,,0.3712,90
Storage optimized,current,h1.8xlarge,99,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,H1 Eight Extra Large,128,10 Gigabit,0,0,4,false,false,2000,1.872,90
Memory optimized,current,r5d.24xlarge,347,96,Intel Xeon Platinum 8175,,R5D 24xlarge,768,25 Gigabit,0,0,4,true,true,900,6.912,90
Storage optimized,current,i3en.6xlarge,0,24,Intel Xeon Platinum 8175,3.1 GHz,I3EN 6xlarge,192,25 Gigabit,0,0,2,true,true,7500,2.712,90
Memory optimized,current,r4.8xlarge,99,32,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,R4 High-Memory Eight Extra Large,244,10 Gigabit,0,0,,,,,2.128,90
General purpose,current,t2.large,variable,2,Intel Xeon Family,Up to 3.0 GHz,T2 Large,8,Low to Moderate,0,0,,,,,0.0928,90
Memory optimized,current,x1.16xlarge,174.5,64,High Frequency Intel Xeon E7-8880 v3 (Haswell),2.3 GHz,X1 Extra High-Memory 16xlarge,976,High,0,0,1,true,false,1920,6.669,90
Compute optimized,current,c5d.18xlarge,281,72,Intel Xeon Platinum 8124M,3.0 Ghz,C5 High-CPU 18xlarge,144,25 Gigabit,0,0,2,true,true,900,3.456,90
Memory optimized,current,r5.metal,347,96,Intel Xeon Platinum 8175,,R5 Metal,768,25 Gigabit,0,0,,,,,6.048,90
Memory optimized,current,r5a.large,0,2,AMD EPYC 7571,2.5 GHz,R5A Large,16,10 Gigabit,0,0,,,,,0.113,90
Compute optimized,previous,c3.large,7,2,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,C3 High-CPU Large,3.75,Moderate,0,0,2,true,false,16,0.105,90
Memory optimized,current,r5a.24xlarge,0,96,AMD EPYC 7571,2.5 GHz,R5A 24xlarge,768,20 Gigabit,0,0,,,,,5.424,90
GPU instance,current,g3.16xlarge,188,64,Intel Xeon E5-2686 v4 (Broadwell),2.3 GHz,G3 16xlarge,488,20 Gigabit,0,4,,,,,4.56,90
General purpose,current,a1.2xlarge,0,8,AWS Graviton Processor,2.3 GHz,A1 Double Extra Large,16,Up to 10 Gigabit,0,0,,,,,0.204,90
