family, generation, instance_type, ECU, vCPU, physical_processor, clock_speed_ghz, pretty_name, memory, network_performance, FPGA, GPU, storage_devices, storage_ssd, storage_nvme_ssd, storage_size, pricing, entry
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,24
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,24
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,24
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,24
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,24
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,24
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,24
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,24
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,24
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,24
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,24
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,24
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,24
Storage optimized,previous,hs1.8xlarge,35,17,,,,117,10 Gigabit,,,24,false,,2000,4.6,24
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,24
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,24
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,24
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,24
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,24
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,24
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,24
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,24
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,24
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,24
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,24
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,24
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,24
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,24
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,24
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,24
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,24
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,24
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,24
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,24
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,24
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,24
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,24
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,24
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,24
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,24
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,24
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,24
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,24
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,24
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,24
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,24
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,24
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,24
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,24
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,24
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,24
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,24
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,24
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,25
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,25
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,25
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,25
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,25
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,25
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,25
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,25
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,25
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,25
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,25
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,25
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,25
Storage optimized,previous,hs1.8xlarge,35,17,,,,117,10 Gigabit,,,24,false,,2000,4.6,25
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,25
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,25
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,25
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,25
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,25
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,25
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,25
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,25
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,25
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,25
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,25
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,25
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,25
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,25
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,25
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,25
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,25
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,25
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,25
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,25
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,25
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,25
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,25
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,25
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,25
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,25
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,25
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,25
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,25
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,25
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,25
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,25
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,25
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,25
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,25
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,25
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,25
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,25
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,25
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,26
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,26
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,26
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,26
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,26
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,26
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,26
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,26
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,26
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,26
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,26
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,26
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,26
Storage optimized,previous,hs1.8xlarge,35,17,,,,117,10 Gigabit,,,24,false,,2000,4.6,26
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,26
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,26
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,26
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,26
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,26
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,26
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,26
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,26
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,26
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,26
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,26
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,26
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,26
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,26
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,26
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,26
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,26
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,26
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,26
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,26
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,26
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,26
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,26
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,26
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,26
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,26
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,26
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,26
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,26
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,26
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,26
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,26
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,26
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,26
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,26
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,26
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,26
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,26
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,26
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,27
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,27
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,27
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,27
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,27
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,27
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,27
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,27
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,27
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,27
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,27
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,27
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,27
Storage optimized,previous,hs1.8xlarge,35,16,,,,117,10 Gigabit,,,24,false,,2000,4.6,27
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,27
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,27
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,27
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,27
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,27
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,27
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,27
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,27
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,27
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,27
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,27
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,27
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,27
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,27
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,27
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,27
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,27
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,27
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,27
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,27
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,27
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,27
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,27
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,27
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,27
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,27
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,27
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,27
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,27
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,27
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,27
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,27
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,27
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,27
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,27
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,27
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,27
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,27
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,27
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,28
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,28
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,28
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,28
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,28
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,28
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,28
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,28
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,28
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,28
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,28
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,28
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,28
Storage optimized,previous,hs1.8xlarge,35,16,,,,117,10 Gigabit,,,24,false,,2000,4.6,28
Micro,previous,t1.micro,0,1,,,,0.613,Very Low,,,,,,,0.02,28
General purpose,current,t2.nano,0,1,,,,0.5,Low,,,,,,,0.0065,28
General purpose,current,t2.micro,0,1,,,,1,Low to Moderate,,,,,,,0.013,28
General purpose,current,t2.small,0,1,,,,2,Low to Moderate,,,,,,,0.026,28
General purpose,current,t2.medium,0,2,,,,4,Low to Moderate,,,,,,,0.052,28
General purpose,current,t2.large,0,2,,,,8,Low to Moderate,,,,,,,0.104,28
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,28
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,28
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,28
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,28
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,28
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,28
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,28
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,28
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,28
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,28
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,28
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,28
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,28
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,28
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,28
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,28
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,28
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,28
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,28
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,28
GPU instances,current,g2.8xlarge,104,32,,,,60,10 Gigabit,,,2,true,,120,2.6,28
Memory optimized,current,r3.large,6.5,2,,,,15.25,Moderate,,,1,true,,32,0.175,28
Memory optimized,current,r3.xlarge,13,4,,,,30.5,Moderate,,,1,true,,80,0.35,28
Memory optimized,current,r3.2xlarge,26,8,,,,61,High,,,1,true,,160,0.7,28
Memory optimized,current,r3.4xlarge,52,16,,,,122,High,,,1,true,,320,1.4,28
Memory optimized,current,r3.8xlarge,104,32,,,,244,10 Gigabit,,,2,true,,320,2.8,28
Storage optimized,current,i2.xlarge,14,4,,,,30.5,Moderate,,,1,true,,800,0.853,28
Storage optimized,current,i2.2xlarge,27,8,,,,61,High,,,2,true,,800,1.705,28
Storage optimized,current,i2.4xlarge,53,16,,,,122,High,,,4,true,,800,3.41,28
Storage optimized,current,i2.8xlarge,104,32,,,,244,10 Gigabit,,,8,true,,800,6.82,28
Storage optimized,current,d2.xlarge,14,4,,,,30.5,Moderate,,,3,false,,2000,0.69,28
Storage optimized,current,d2.2xlarge,28,8,,,,61,High,,,6,false,,2000,1.38,28
Storage optimized,current,d2.4xlarge,56,16,,,,122,High,,,12,false,,2000,2.76,28
Storage optimized,current,d2.8xlarge,116,36,,,,244,10 Gigabit,,,24,false,,2000,5.52,28
General Purpose,previous,m1.small,1,1,,,,1.7,Low,,,1,false,,160,0.044,29
General purpose,previous,m1.medium,2,1,,,,3.75,Moderate,,,1,false,,410,0.087,29
General purpose,previous,m1.large,4,2,,,,7.5,Moderate,,,2,false,,420,0.175,29
General purpose,previous,m1.xlarge,8,4,,,,15,High,,,4,false,,420,0.35,29
Compute optimized,previous,c1.medium,5,2,,,,1.7,Moderate,,,1,false,,350,0.13,29
Compute optimized,previous,c1.xlarge,20,8,,,,7,High,,,4,false,,420,0.52,29
Compute optimized,previous,cc2.8xlarge,88,32,,,,60.5,10 Gigabit,,,4,false,,840,2,29
GPU instances,previous,cg1.4xlarge,33.5,16,,,,22.5,10 Gigabit,,,2,false,,840,2.1,29
Memory optimized,previous,m2.xlarge,6.5,2,,,,17.1,Moderate,,,1,false,,420,0.245,29
Memory optimized,previous,m2.2xlarge,13,4,,,,34.2,Moderate,,,1,false,,850,0.49,29
Memory optimized,previous,m2.4xlarge,26,8,,,,68.4,High,,,2,false,,840,0.98,29
Memory optimized,previous,cr1.8xlarge,88,32,,,,244,10 Gigabit,,,2,true,,120,3.5,29
Storage optimized,previous,hi1.4xlarge,35,16,,,,60.5,10 Gigabit,,,2,true,,1024,3.1,29
Storage optimized,previous,hs1.8xlarge,35,16,,,,117,10 Gigabit,,,24,false,,2000,4.6,29
Micro,previous,t1.micro,variable,1,,,,0.613,Very Low,,,,,,,0.02,29
General purpose,current,t2.nano,variable,1,,,,0.5,Low,,,,,,,0.0065,29
General purpose,current,t2.micro,variable,1,,,,1,Low to Moderate,,,,,,,0.013,29
General purpose,current,t2.small,variable,1,,,,2,Low to Moderate,,,,,,,0.026,29
General purpose,current,t2.medium,variable,2,,,,4,Low to Moderate,,,,,,,0.052,29
General purpose,current,t2.large,variable,2,,,,8,Low to Moderate,,,,,,,0.104,29
General purpose,current,m4.large,6.5,2,,,,8,Moderate,,,,,,,0.126,29
General purpose,current,m4.xlarge,13,4,,,,16,High,,,,,,,0.252,29
General purpose,current,m4.2xlarge,26,8,,,,32,High,,,,,,,0.504,29
General purpose,current,m4.4xlarge,53.5,16,,,,64,High,,,,,,,1.008,29
General purpose,current,m4.10xlarge,124.5,40,,,,160,10 Gigabit,,,,,,,2.52,29
General purpose,current,m3.medium,3,1,,,,3.75,Moderate,,,1,true,,4,0.067,29
General purpose,current,m3.large,6.5,2,,,,7.5,Moderate,,,1,true,,32,0.133,29
General purpose,current,m3.xlarge,13,4,,,,15,High,,,2,true,,40,0.266,29
General purpose,current,m3.2xlarge,26,8,,,,30,High,,,2,true,,80,0.532,29
Compute optimized,current,c4.large,8,2,,,,3.75,Moderate,,,,,,,0.11,29
Compute optimized,current,c4.xlarge,16,4,,,,7.5,High,,,,,,,0.22,29
Compute optimized,current,c4.2xlarge,31,8,,,,15,High,,,,,,,0.441,29
Compute optimized,current,c4.4xlarge,62,16,,,,30,High,,,,,,,0.882,29
Compute optimized,current,c4.8xlarge,132,36,,,,60,10 Gigabit,,,,,,,1.763,29
Compute optimized,current,c3.large,7,2,,,,3.75,Moderate,,,2,true,,16,0.105,29
Compute optimized,current,c3.xlarge,14,4,,,,7.5,Moderate,,,2,true,,40,0.21,29
Compute optimized,current,c3.2xlarge,28,8,,,,15,High,,,2,true,,80,0.42,29
Compute optimized,current,c3.4xlarge,55,16,,,,30,High,,,2,true,,160,0.84,29
Compute optimized,current,c3.8xlarge,108,32,,,,60,10 Gigabit,,,2,true,,320,1.68,29
GPU instances,current,g2.2xlarge,26,8,,,,15,High,,,1,true,,60,0.65,29
